Sample	Population	SuperPopulation	isFemale	PurpleHair	CaffeineConsumption
HG03057	MSL	AFR	false	false	8
HG04006	STU	SAS	false	true	9
HG03242	GWD	AFR	false	true	5
HG01747	IBS	EUR	false	false	5
HG03838	STU	SAS	true	true	4
HG01464	CLM	AMR	false	false	8
HG01172	PUR	AMR	false	true	6
HG03029	GWD	AFR	false	true	3
HG01323	PUR	AMR	true	false	5
HG03101	ESN	AFR	false	false	8
HG03513	ESN	AFR	false	true	9
NA11918	CEU	EUR	true	false	7
HG03870	ITU	SAS	false	false	7
NA19098	YRI	AFR	false	false	3
NA19761	MXL	AMR	true	false	4
HG01566	PEL	AMR	true	false	7
NA19454	LWK	AFR	false	true	3
HG02974	ESN	AFR	true	true	6
HG02611	GWD	AFR	true	true	8
NA20819	TSI	EUR	true	true	4
NA19323	LWK	AFR	true	true	9
HG03196	ESN	AFR	false	false	5
NA19738	MXL	AMR	false	true	9
NA18794	CHB	EAS	false	true	3
HG01182	PUR	AMR	false	false	3
NA21089	GIH	SAS	true	true	3
HG01551	CLM	AMR	true	false	8
HG03746	STU	SAS	false	true	5
NA10843	CEU	EUR	true	false	4
NA18951	JPT	EAS	true	false	7
HG00584	CHS	EAS	true	true	8
NA12767	CEU	EUR	true	false	8
NA19360	LWK	AFR	false	false	4
HG03989	STU	SAS	true	true	9
NA20811	TSI	EUR	false	true	8
NA12763	CEU	EUR	true	true	9
NA21091	GIH	SAS	false	true	3
HG03280	ESN	AFR	false	true	5
HG03990	STU	SAS	false	false	6
HG03667	PJL	SAS	false	true	3
HG03804	BEB	SAS	true	false	5
NA20526	TSI	EUR	true	false	8
NA19651	MXL	AMR	true	true	8
HG03802	BEB	SAS	true	true	9
HG03272	ESN	AFR	true	false	6
HG00337	FIN	EUR	true	false	6
HG03669	PJL	SAS	true	true	6
HG03862	ITU	SAS	true	false	5
HG00255	GBR	EUR	true	true	7
HG01102	PUR	AMR	true	false	9
HG01437	CLM	AMR	false	false	9
HG01705	IBS	EUR	false	true	7
HG01442	CLM	AMR	false	true	5
HG01141	CLM	AMR	true	false	8
HG03982	STU	SAS	false	true	7
HG01325	PUR	AMR	false	false	7
NA12272	CEU	EUR	false	true	9
NA19082	JPT	EAS	false	true	7
HG03082	MSL	AFR	true	true	3
HG01859	KHV	EAS	true	true	6
NA19393	LWK	AFR	false	false	4
NA19371	LWK	AFR	false	true	4
HG01868	KHV	EAS	true	false	8
HG03191	ESN	AFR	false	true	4
HG01343	CLM	AMR	true	false	4
HG00156	GBR	EUR	false	true	4
HG01926	PEL	AMR	false	false	7
NA18617	CHB	EAS	true	false	3
HG02922	ESN	AFR	true	true	3
HG02645	GWD	AFR	false	false	5
HG01858	KHV	EAS	true	false	7
NA19070	JPT	EAS	false	true	4
HG01280	CLM	AMR	false	false	7
HG03047	GWD	AFR	true	false	9
HG03846	STU	SAS	false	false	3
HG01873	KHV	EAS	false	true	6
HG03061	MSL	AFR	true	true	7
HG00589	CHS	EAS	false	false	5
HG04173	BEB	SAS	false	false	4
HG02590	GWD	AFR	false	true	9
NA20886	GIH	SAS	true	false	8
HG03078	MSL	AFR	false	false	8
HG01921	PEL	AMR	true	true	6
HG01920	PEL	AMR	false	false	7
HG02625	GWD	AFR	false	true	5
NA19352	LWK	AFR	false	false	4
HG00106	GBR	EUR	true	false	9
HG03762	PJL	SAS	true	true	4
HG00689	CHS	EAS	false	true	7
HG01303	PUR	AMR	true	false	9
HG03081	MSL	AFR	false	false	9
NA18975	JPT	EAS	true	true	4
NA12056	CEU	EUR	false	true	7
NA19023	LWK	AFR	true	false	7
NA19728	MXL	AMR	true	false	8
HG02476	ACB	AFR	true	false	6
HG03913	BEB	SAS	true	false	8
HG03738	STU	SAS	false	true	5
HG00133	GBR	EUR	true	false	9
HG03922	BEB	SAS	true	false	5
HG01463	CLM	AMR	true	true	5
HG01130	CLM	AMR	false	false	5
NA20807	TSI	EUR	true	true	7
HG02676	GWD	AFR	true	false	3
HG02046	KHV	EAS	true	false	7
HG03088	MSL	AFR	true	false	4
HG03594	BEB	SAS	false	false	3
HG02615	GWD	AFR	true	false	3
NA12872	CEU	EUR	false	true	6
HG03650	PJL	SAS	true	false	8
NA18995	JPT	EAS	false	true	3
NA18576	CHB	EAS	true	false	9
NA18981	JPT	EAS	true	false	4
HG03269	ESN	AFR	false	false	4
HG02127	KHV	EAS	true	true	7
NA20761	TSI	EUR	true	true	7
NA19723	MXL	AMR	false	true	5
HG01944	PEL	AMR	false	true	7
HG02016	KHV	EAS	true	true	9
HG04188	BEB	SAS	false	false	4
NA11891	CEU	EUR	false	true	9
HG03832	BEB	SAS	true	false	6
HG04209	ITU	SAS	true	true	8
NA19924	ASW	AFR	true	true	7
NA19054	JPT	EAS	true	false	7
HG00121	GBR	EUR	true	true	7
NA19675	MXL	AMR	true	false	3
NA20757	TSI	EUR	true	false	8
HG03270	ESN	AFR	true	true	4
HG00180	FIN	EUR	true	false	8
HG00759	CDX	EAS	true	true	8
HG04214	ITU	SAS	true	true	4
HG01257	CLM	AMR	true	false	8
HG00716	CHS	EAS	false	true	9
NA19789	MXL	AMR	false	false	5
HG00359	FIN	EUR	true	true	3
NA19377	LWK	AFR	true	true	9
NA12340	CEU	EUR	false	false	3
HG01842	KHV	EAS	false	false	9
HG00630	CHS	EAS	false	true	3
HG00656	CHS	EAS	false	true	6
HG02791	PJL	SAS	false	true	8
HG03294	ESN	AFR	true	false	9
HG01175	PUR	AMR	true	true	9
HG03589	BEB	SAS	true	false	8
HG03050	GWD	AFR	false	false	5
HG02559	ACB	AFR	true	true	8
HG02692	PJL	SAS	true	false	3
HG01939	PEL	AMR	true	false	9
NA19257	YRI	AFR	true	false	6
HG01610	IBS	EUR	false	true	9
HG02308	ACB	AFR	true	false	7
NA19319	LWK	AFR	false	true	3
HG02064	KHV	EAS	false	false	5
HG03944	STU	SAS	true	true	7
HG01851	KHV	EAS	true	false	4
NA19132	YRI	AFR	true	true	8
NA19659	MXL	AMR	true	true	8
HG00732	PUR	AMR	true	false	6
NA19446	LWK	AFR	true	false	7
HG03778	ITU	SAS	false	true	9
HG02164	CDX	EAS	true	true	6
HG03059	MSL	AFR	false	false	3
HG02061	KHV	EAS	false	true	7
NA18950	JPT	EAS	true	true	4
HG00673	CHS	EAS	false	true	7
HG01969	PEL	AMR	true	false	4
NA12814	CEU	EUR	false	true	3
NA19099	YRI	AFR	true	false	3
HG03999	STU	SAS	false	true	3
HG01112	CLM	AMR	false	true	6
HG01761	IBS	EUR	false	true	8
HG01064	PUR	AMR	true	false	5
HG03091	MSL	AFR	true	false	3
HG00735	PUR	AMR	true	false	5
HG03510	ESN	AFR	true	false	9
HG00692	CHS	EAS	false	true	4
HG03645	STU	SAS	true	true	3
HG01955	PEL	AMR	true	false	7
HG02132	KHV	EAS	false	false	8
NA11932	CEU	EUR	false	true	8
HG00380	FIN	EUR	true	true	5
HG02023	KHV	EAS	false	true	6
NA19391	LWK	AFR	true	false	8
NA19672	MXL	AMR	true	false	6
HG01072	PUR	AMR	false	true	8
HG01843	KHV	EAS	true	true	5
NA20786	TSI	EUR	true	true	6
NA20543	TSI	EUR	false	false	9
NA19685	MXL	AMR	false	true	6
HG03991	STU	SAS	false	true	6
HG03836	STU	SAS	true	false	4
HG01776	IBS	EUR	true	false	6
HG01974	PEL	AMR	false	false	9
HG04229	STU	SAS	false	false	5
NA21107	GIH	SAS	false	true	5
HG03805	BEB	SAS	true	false	3
HG02232	IBS	EUR	true	true	5
NA07014	CEU	EUR	true	true	9
NA19080	JPT	EAS	true	true	5
HG04171	BEB	SAS	true	true	6
HG01945	PEL	AMR	true	true	8
HG01405	PUR	AMR	false	true	9
HG02727	PJL	SAS	false	false	7
HG00631	CHS	EAS	false	true	7
HG03727	ITU	SAS	false	true	6
HG01520	IBS	EUR	true	true	7
NA18946	JPT	EAS	true	true	9
HG02282	ACB	AFR	true	true	9
HG02353	CDX	EAS	false	false	8
NA19148	YRI	AFR	true	false	5
HG03876	ITU	SAS	false	true	6
NA20883	GIH	SAS	false	true	9
HG01082	PUR	AMR	false	true	3
HG01523	IBS	EUR	false	false	3
HG01791	GBR	EUR	false	false	6
HG03472	MSL	AFR	false	true	7
NA07051	CEU	EUR	false	true	7
NA18881	YRI	AFR	true	true	8
HG00270	FIN	EUR	true	true	8
NA21109	GIH	SAS	false	false	9
HG03584	MSL	AFR	true	false	5
HG03909	BEB	SAS	false	false	5
HG00530	CHS	EAS	false	true	7
HG03548	MSL	AFR	true	false	3
HG01092	PUR	AMR	true	true	8
NA19064	JPT	EAS	true	true	9
HG03428	MSL	AFR	true	true	9
NA19373	LWK	AFR	false	false	9
HG00593	CHS	EAS	true	false	9
NA20828	TSI	EUR	true	true	7
NA19019	LWK	AFR	true	true	3
HG02286	PEL	AMR	true	true	8
HG03368	ESN	AFR	false	false	6
HG03049	GWD	AFR	true	false	9
NA20875	GIH	SAS	true	true	3
HG02781	PJL	SAS	true	true	5
NA20888	GIH	SAS	true	true	4
NA18855	YRI	AFR	true	false	5
HG01054	PUR	AMR	false	false	6
NA19101	YRI	AFR	false	false	9
NA20536	TSI	EUR	false	false	4
HG01516	IBS	EUR	true	false	8
HG02890	GWD	AFR	false	true	3
HG01590	PJL	SAS	true	true	4
HG00534	CHS	EAS	true	true	7
HG02035	KHV	EAS	false	false	6
HG01972	PEL	AMR	true	false	9
HG01466	CLM	AMR	true	false	3
NA18542	CHB	EAS	true	false	4
HG03058	MSL	AFR	true	false	4
HG01049	PUR	AMR	true	true	7
HG02596	GWD	AFR	false	true	6
HG03490	PJL	SAS	false	false	9
HG03583	MSL	AFR	true	true	5
HG02122	KHV	EAS	false	true	6
HG03929	BEB	SAS	false	false	3
HG01695	IBS	EUR	true	false	9
HG01500	IBS	EUR	false	false	8
NA12818	CEU	EUR	true	true	6
HG01790	GBR	EUR	true	true	9
HG01961	PEL	AMR	false	false	3
HG03598	BEB	SAS	true	true	8
HG01885	ACB	AFR	false	false	8
HG01567	PEL	AMR	true	true	9
HG03240	GWD	AFR	false	true	9
HG01916	ACB	AFR	true	true	5
HG00543	CHS	EAS	true	false	9
NA20505	TSI	EUR	true	true	4
NA20506	TSI	EUR	true	true	7
HG01286	PUR	AMR	false	false	9
HG01857	KHV	EAS	true	true	6
HG03679	STU	SAS	false	false	5
NA18510	YRI	AFR	false	true	5
HG01894	ACB	AFR	true	false	6
HG01083	PUR	AMR	true	false	4
HG02879	GWD	AFR	true	true	4
HG03607	BEB	SAS	true	false	6
HG01396	PUR	AMR	true	false	9
HG02238	IBS	EUR	false	false	5
HG03779	ITU	SAS	false	false	7
HG01260	CLM	AMR	true	false	8
HG01958	ACB	AFR	true	false	7
HG02602	PJL	SAS	false	true	8
NA19010	JPT	EAS	true	true	8
HG02489	ACB	AFR	false	true	8
NA20818	TSI	EUR	true	true	7
HG00405	CHS	EAS	true	false	3
HG00101	GBR	EUR	false	true	8
HG00729	CHS	EAS	true	true	8
HG03477	MSL	AFR	false	true	5
HG01936	PEL	AMR	true	false	6
HG03069	MSL	AFR	false	false	3
NA19705	ASW	AFR	false	false	8
NA19680	MXL	AMR	true	true	3
HG03438	MSL	AFR	true	false	6
HG00658	CHS	EAS	false	true	4
HG01512	IBS	EUR	false	false	8
HG01311	PUR	AMR	false	true	6
HG01348	CLM	AMR	true	true	6
HG02763	GWD	AFR	true	true	9
HG02069	KHV	EAS	true	false	9
HG03007	BEB	SAS	true	false	5
HG02060	KHV	EAS	true	false	8
HG01322	PUR	AMR	false	true	5
NA20861	GIH	SAS	false	true	7
HG03200	ESN	AFR	true	false	7
HG03371	ESN	AFR	false	false	3
HG02597	PJL	SAS	false	true	8
HG02878	GWD	AFR	false	true	7
HG04186	BEB	SAS	true	true	6
HG04197	STU	SAS	true	true	5
NA20282	ASW	AFR	true	false	6
HG02229	IBS	EUR	true	false	9
NA07340	CEU	EUR	true	true	9
HG01324	PUR	AMR	true	false	9
HG03830	BEB	SAS	false	true	5
HG01108	PUR	AMR	true	true	7
NA18597	CHB	EAS	true	true	8
NA19004	JPT	EAS	false	false	3
NA20879	GIH	SAS	true	true	6
HG03687	STU	SAS	false	false	3
HG00302	FIN	EUR	true	false	5
HG03158	ESN	AFR	true	true	4
NA19751	MXL	AMR	false	true	3
HG03457	MSL	AFR	false	true	8
HG01702	IBS	EUR	true	false	7
HG01768	IBS	EUR	true	true	5
NA10855	CEU	EUR	true	true	8
HG00143	GBR	EUR	false	true	6
NA20764	TSI	EUR	true	false	7
HG03439	MSL	AFR	false	true	7
NA19144	YRI	AFR	false	true	9
HG04191	BEB	SAS	false	false	5
HG00636	CHS	EAS	false	false	4
NA20911	GIH	SAS	false	false	4
HG00449	CHS	EAS	true	false	3
NA18515	YRI	AFR	false	true	7
HG03015	PJL	SAS	false	true	6
NA19120	YRI	AFR	false	true	4
HG00258	GBR	EUR	true	true	6
HG03777	ITU	SAS	false	true	5
HG00320	FIN	EUR	true	false	5
NA20508	TSI	EUR	true	false	3
NA12336	CEU	EUR	true	false	3
NA20359	ASW	AFR	true	true	5
NA19455	LWK	AFR	false	true	6
HG02089	PEL	AMR	true	true	8
HG03781	ITU	SAS	true	true	6
HG01480	CLM	AMR	true	false	9
HG04155	BEB	SAS	false	true	8
NA18914	YRI	AFR	false	true	6
HG00280	FIN	EUR	false	false	4
HG02969	ESN	AFR	true	true	3
HG03164	ESN	AFR	true	true	7
HG02231	IBS	EUR	false	false	8
HG03624	PJL	SAS	false	true	5
NA18940	JPT	EAS	false	true	3
NA10845	CEU	EUR	false	true	7
NA21098	GIH	SAS	false	true	4
HG03595	BEB	SAS	true	true	4
HG00234	GBR	EUR	false	true	7
HG01161	PUR	AMR	false	true	7
HG01862	KHV	EAS	true	false	7
HG03374	ESN	AFR	true	false	6
HG04208	STU	SAS	true	true	5
HG02869	GWD	AFR	false	true	9
HG02144	ACB	AFR	true	true	5
NA07048	CEU	EUR	false	false	3
NA10830	CEU	EUR	false	true	4
NA20887	GIH	SAS	false	true	9
HG03593	BEB	SAS	false	false	5
HG03780	ITU	SAS	true	false	7
HG04026	ITU	SAS	true	true	3
HG02818	GWD	AFR	true	false	3
HG01571	PEL	AMR	false	false	9
HG02145	ACB	AFR	false	true	6
NA19384	LWK	AFR	false	false	9
HG01623	IBS	EUR	true	true	7
HG03895	STU	SAS	true	false	3
NA20902	GIH	SAS	true	true	9
NA20587	TSI	EUR	true	false	3
HG01184	PUR	AMR	true	true	7
HG02968	ESN	AFR	false	true	3
NA20515	TSI	EUR	false	true	7
HG03600	BEB	SAS	false	false	4
NA12750	CEU	EUR	false	true	3
NA20787	TSI	EUR	false	true	8
NA20900	GIH	SAS	true	true	7
HG04193	BEB	SAS	false	false	9
NA18942	JPT	EAS	true	false	9
HG03574	MSL	AFR	false	false	3
NA21127	GIH	SAS	false	true	3
NA19676	MXL	AMR	false	true	9
HG02415	PEL	AMR	true	false	6
NA19066	JPT	EAS	false	false	9
NA18863	YRI	AFR	false	true	3
NA19718	MXL	AMR	true	false	5
NA18609	CHB	EAS	false	true	8
NA18487	YRI	AFR	false	true	7
HG01683	IBS	EUR	false	false	4
HG03511	ESN	AFR	true	false	4
NA19210	YRI	AFR	false	false	9
HG03707	PJL	SAS	false	false	6
NA18970	JPT	EAS	false	false	3
NA20524	TSI	EUR	false	true	7
NA19331	LWK	AFR	false	true	4
HG03619	PJL	SAS	true	false	4
HG00738	PUR	AMR	false	true	4
HG02030	KHV	EAS	false	true	3
NA07357	CEU	EUR	false	true	8
HG01486	CLM	AMR	true	true	9
HG01680	IBS	EUR	false	true	7
HG02687	PJL	SAS	false	true	7
NA19086	JPT	EAS	false	true	5
NA18876	YRI	AFR	true	true	4
HG04100	STU	SAS	false	false	4
NA19658	MXL	AMR	false	true	6
HG02302	PEL	AMR	false	false	3
HG03697	STU	SAS	false	false	3
HG03378	MSL	AFR	true	true	6
NA21101	GIH	SAS	true	false	9
NA20291	ASW	AFR	false	false	3
HG01454	CLM	AMR	true	true	3
HG01682	IBS	EUR	false	false	8
HG02965	ESN	AFR	false	true	8
HG00261	GBR	EUR	true	true	9
HG02643	GWD	AFR	true	false	3
HG00438	CHS	EAS	true	true	8
HG00102	GBR	EUR	true	true	8
NA18980	JPT	EAS	true	true	3
HG03715	ITU	SAS	false	true	7
HG03708	PJL	SAS	false	true	9
HG00531	CHS	EAS	true	true	6
NA10863	CEU	EUR	true	true	5
NA21102	GIH	SAS	true	true	7
HG04194	BEB	SAS	false	false	6
HG02561	GWD	AFR	false	true	9
HG02012	ACB	AFR	true	false	9
HG03132	ESN	AFR	true	true	6
HG00741	PUR	AMR	true	true	4
HG03742	ITU	SAS	false	false	6
HG03008	BEB	SAS	false	false	7
HG03673	STU	SAS	true	true	5
NA19671	MXL	AMR	true	true	6
HG03693	STU	SAS	false	false	7
NA18917	YRI	AFR	false	false	5
NA20361	ASW	AFR	true	true	4
NA12006	CEU	EUR	true	true	5
HG03898	STU	SAS	true	true	8
HG02882	GWD	AFR	true	true	7
NA20511	TSI	EUR	false	true	6
HG01625	IBS	EUR	false	false	8
HG03720	ITU	SAS	false	true	7
HG02667	GWD	AFR	true	false	7
NA18992	JPT	EAS	true	true	3
HG02888	GWD	AFR	true	false	3
HG03951	STU	SAS	true	true	8
HG01440	CLM	AMR	false	false	8
HG02017	KHV	EAS	false	true	7
HG02514	KHV	EAS	false	true	8
HG01126	CLM	AMR	false	false	5
HG01301	PUR	AMR	true	true	8
HG01923	PEL	AMR	false	true	6
NA19378	LWK	AFR	true	false	5
NA19771	MXL	AMR	false	true	6
HG00096	GBR	EUR	false	false	6
HG03129	ESN	AFR	true	true	6
HG03896	STU	SAS	false	false	4
HG02495	PJL	SAS	true	true	3
HG03442	MSL	AFR	false	false	6
NA19115	YRI	AFR	true	false	7
NA12718	CEU	EUR	true	false	6
HG02215	GBR	EUR	true	true	7
NA20799	TSI	EUR	true	true	8
HG00612	CHS	EAS	true	true	5
HG02419	ACB	AFR	true	false	7
HG00129	GBR	EUR	false	false	6
HG02691	PJL	SAS	true	true	5
NA19716	MXL	AMR	true	true	7
HG01187	PUR	AMR	false	false	5
NA20881	GIH	SAS	true	false	4
HG01808	CDX	EAS	true	false	7
HG03072	MSL	AFR	false	true	8
HG03899	STU	SAS	false	true	5
HG01865	KHV	EAS	false	false	7
HG01767	IBS	EUR	false	false	9
HG02420	ACB	AFR	false	false	7
NA20770	TSI	EUR	false	false	9
NA19780	MXL	AMR	false	true	3
HG03365	ESN	AFR	false	true	8
HG02770	GWD	AFR	true	false	3
HG03139	ESN	AFR	false	false	4
HG03798	BEB	SAS	false	false	6
HG04195	BEB	SAS	true	false	7
HG00551	PUR	AMR	true	true	7
HG01937	PEL	AMR	false	false	5
HG03784	ITU	SAS	true	true	9
HG02337	ACB	AFR	true	false	9
HG02798	GWD	AFR	false	false	8
HG02086	KHV	EAS	true	true	4
NA18998	JPT	EAS	true	true	8
HG04149	BEB	SAS	false	false	7
HG03639	PJL	SAS	false	true	4
HG01197	PUR	AMR	false	false	9
HG01629	IBS	EUR	false	false	3
HG00691	CHS	EAS	false	true	9
HG00698	CHS	EAS	false	true	9
HG04033	STU	SAS	false	false	7
NA20812	TSI	EUR	false	true	9
HG01880	ACB	AFR	true	false	9
HG02981	ESN	AFR	false	false	6
NA19141	YRI	AFR	false	false	4
HG00372	FIN	EUR	false	false	6
HG03973	ITU	SAS	true	true	8
NA20869	GIH	SAS	true	false	8
NA18615	CHB	EAS	true	false	3
HG02332	ACB	AFR	false	false	7
NA21115	GIH	SAS	false	false	3
HG01780	IBS	EUR	false	false	6
HG02694	PJL	SAS	true	true	9
NA12414	CEU	EUR	true	true	5
HG01774	IBS	EUR	false	true	7
HG02977	ESN	AFR	false	true	3
NA20341	ASW	AFR	true	true	7
HG01174	PUR	AMR	true	false	6
HG04219	ITU	SAS	false	false	4
HG03077	MSL	AFR	false	false	6
NA18531	CHB	EAS	true	true	8
HG02584	GWD	AFR	false	true	3
HG03761	PJL	SAS	false	true	6
HG02892	GWD	AFR	false	true	9
NA20513	TSI	EUR	false	false	3
HG01897	ACB	AFR	false	true	5
HG02885	GWD	AFR	true	true	7
HG00654	CHS	EAS	true	true	9
HG01878	KHV	EAS	true	false	4
HG03048	GWD	AFR	false	true	8
HG03842	STU	SAS	true	false	9
NA19043	LWK	AFR	false	false	6
HG00982	CDX	EAS	false	true	6
NA19747	MXL	AMR	false	true	8
NA19093	YRI	AFR	true	true	9
NA12274	CEU	EUR	false	false	7
NA19921	ASW	AFR	true	true	5
HG01771	IBS	EUR	false	true	10
NA20358	ASW	AFR	false	false	9
NA07019	CEU	EUR	true	true	7
NA19067	JPT	EAS	false	false	4
HG02775	PJL	SAS	true	true	3
HG00453	CHS	EAS	true	false	6
HG02764	GWD	AFR	false	true	3
HG00524	CHS	EAS	false	true	7
HG00099	GBR	EUR	true	false	6
HG01089	PUR	AMR	true	true	7
HG01763	IBS	EUR	true	false	9
HG04058	ITU	SAS	false	true	3
HG02032	KHV	EAS	false	true	9
HG03225	MSL	AFR	false	false	9
HG03103	ESN	AFR	false	false	9
HG03809	BEB	SAS	false	true	3
HG00436	CHS	EAS	false	false	4
NA11840	CEU	EUR	true	true	8
HG00332	FIN	EUR	true	true	8
HG03725	ITU	SAS	false	false	4
HG01484	CLM	AMR	true	false	6
HG02588	GWD	AFR	false	true	9
HG02068	KHV	EAS	true	false	3
HG03711	STU	SAS	false	true	5
NA20313	ASW	AFR	true	false	8
NA12843	CEU	EUR	true	true	8
HG01498	CLM	AMR	true	false	9
HG00623	CHS	EAS	true	true	8
HG03540	GWD	AFR	true	false	8
NA19006	JPT	EAS	false	false	9
HG01971	PEL	AMR	true	false	7
HG02502	ACB	AFR	true	false	9
NA19463	LWK	AFR	true	false	7
HG01349	CLM	AMR	true	false	9
NA21120	GIH	SAS	true	true	3
HG02254	PEL	AMR	true	false	9
HG03567	MSL	AFR	true	true	5
HG01669	IBS	EUR	false	false	7
HG03558	MSL	AFR	true	true	8
HG03719	ITU	SAS	true	true	4
NA19404	LWK	AFR	true	true	8
HG00532	CHS	EAS	false	false	5
NA19309	LWK	AFR	false	true	3
NA19025	LWK	AFR	false	false	5
HG02704	GWD	AFR	true	true	3
HG01775	IBS	EUR	false	false	8
HG02321	ACB	AFR	true	false	6
HG02717	GWD	AFR	false	false	6
HG03268	ESN	AFR	false	false	7
HG00288	FIN	EUR	true	true	8
HG01362	CLM	AMR	false	true	6
HG04187	BEB	SAS	false	false	7
NA19467	LWK	AFR	true	false	9
HG03521	ESN	AFR	false	false	5
HG00232	GBR	EUR	true	true	5
HG02364	CDX	EAS	false	false	7
HG01363	CLM	AMR	true	false	6
NA18747	CHB	EAS	false	false	6
HG00342	FIN	EUR	false	false	8
NA18994	JPT	EAS	false	false	3
NA19074	JPT	EAS	true	true	7
NA19118	YRI	AFR	true	true	4
NA19310	LWK	AFR	true	true	6
HG03169	ESN	AFR	false	false	9
HG00614	CHS	EAS	true	false	6
NA12878	CEU	EUR	true	true	9
NA18608	CHB	EAS	false	false	3
NA18878	YRI	AFR	true	false	5
NA20906	GIH	SAS	true	true	8
HG01940	PEL	AMR	true	true	9
HG03344	ESN	AFR	false	true	5
HG00566	CHS	EAS	true	true	8
HG02257	ACB	AFR	true	true	4
HG01394	PUR	AMR	true	false	9
HG00444	CHS	EAS	false	false	4
HG02024	KHV	EAS	true	false	7
HG02442	ACB	AFR	false	false	6
HG00306	FIN	EUR	true	false	8
HG03732	ITU	SAS	false	true	5
HG02966	ESN	AFR	false	true	6
HG03343	ESN	AFR	false	false	6
NA18909	YRI	AFR	true	false	7
HG01087	PUR	AMR	true	true	4
HG00596	CHS	EAS	true	true	7
HG02298	PEL	AMR	true	true	6
HG00653	CHS	EAS	false	false	5
NA19778	MXL	AMR	false	true	9
NA18629	CHB	EAS	false	true	4
HG01048	PUR	AMR	false	false	10
HG01247	PUR	AMR	false	false	9
NA19753	MXL	AMR	false	true	3
HG02314	ACB	AFR	false	false	6
HG01959	ACB	AFR	true	true	5
HG02603	PJL	SAS	false	true	8
HG03446	MSL	AFR	true	false	3
NA20301	ASW	AFR	true	true	9
NA20544	TSI	EUR	false	false	4
NA18505	YRI	AFR	true	false	6
HG01031	CDX	EAS	false	true	6
NA18853	YRI	AFR	false	true	4
HG01537	IBS	EUR	true	true	7
HG03626	PJL	SAS	true	true	4
HG00956	CDX	EAS	true	true	7
NA19087	JPT	EAS	true	false	4
NA19107	YRI	AFR	false	true	4
NA19471	LWK	AFR	true	true	9
HG00381	FIN	EUR	true	true	9
HG03309	ESN	AFR	true	true	5
NA21126	GIH	SAS	false	false	8
HG03960	ITU	SAS	false	true	3
HG00701	CHS	EAS	false	true	6
NA20520	TSI	EUR	false	false	7
HG04227	STU	SAS	true	true	5
NA20321	ASW	AFR	true	true	4
NA07022	CEU	EUR	false	true	9
HG00259	GBR	EUR	true	false	6
NA20821	TSI	EUR	true	true	5
HG03074	MSL	AFR	false	false	7
HG04037	STU	SAS	true	true	9
HG03965	ITU	SAS	false	false	8
NA18646	CHB	EAS	true	true	6
NA19174	YRI	AFR	false	true	7
HG03135	ESN	AFR	true	false	8
HG03766	PJL	SAS	false	true	8
HG00590	CHS	EAS	true	true	7
HG04239	ITU	SAS	false	true	4
HG03698	STU	SAS	true	false	3
HG00465	CHS	EAS	false	false	9
HG03055	MSL	AFR	true	false	3
NA19122	YRI	AFR	true	true	4
HG03911	BEB	SAS	false	false	6
HG01095	PUR	AMR	true	false	6
HG01138	CLM	AMR	false	false	3
HG00335	FIN	EUR	false	true	6
HG01924	PEL	AMR	true	true	7
HG03265	ESN	AFR	false	false	7
NA12739	CEU	EUR	false	false	5
HG04215	STU	SAS	false	false	8
HG01312	PUR	AMR	true	true	9
HG00740	PUR	AMR	true	true	8
NA19662	MXL	AMR	true	true	6
HG04228	STU	SAS	false	true	7
NA12864	CEU	EUR	false	true	9
NA20343	ASW	AFR	false	false	5
HG01817	CDX	EAS	true	false	7
HG02445	ACB	AFR	false	false	5
HG03246	GWD	AFR	false	true	8
NA18550	CHB	EAS	true	true	5
NA19394	LWK	AFR	false	true	5
HG00119	GBR	EUR	false	true	5
HG01124	CLM	AMR	false	true	6
HG02819	GWD	AFR	false	true	4
HG02307	ACB	AFR	false	false	8
HG03259	GWD	AFR	true	false	4
NA19781	MXL	AMR	true	true	4
NA20810	TSI	EUR	false	true	6
NA18557	CHB	EAS	false	false	6
NA12877	CEU	EUR	false	false	4
HG03963	ITU	SAS	false	false	5
NA19149	YRI	AFR	true	false	3
HG02646	GWD	AFR	true	false	5
HG00476	CHS	EAS	true	false	4
HG02275	PEL	AMR	true	false	6
HG02111	ACB	AFR	true	true	5
HG02923	ESN	AFR	false	false	7
HG04035	STU	SAS	true	true	5
HG03807	BEB	SAS	true	false	8
NA19224	YRI	AFR	false	false	6
HG02604	PJL	SAS	true	true	4
NA20801	TSI	EUR	false	false	5
HG01390	CLM	AMR	true	false	6
HG01511	IBS	EUR	true	false	3
HG01586	PJL	SAS	false	true	10
HG03907	BEB	SAS	true	false	9
HG01630	IBS	EUR	false	false	6
HG01055	PUR	AMR	true	true	8
HG04189	BEB	SAS	true	false	4
NA19449	LWK	AFR	true	false	4
HG02756	GWD	AFR	false	true	9
HG00311	FIN	EUR	false	true	3
HG03790	ITU	SAS	false	false	6
NA18549	CHB	EAS	false	true	7
HG01595	KHV	EAS	true	true	7
NA19428	LWK	AFR	false	true	5
HG00304	FIN	EUR	true	true	5
HG01872	KHV	EAS	false	true	5
NA18573	CHB	EAS	true	true	6
NA18639	CHB	EAS	false	true	5
NA20337	ASW	AFR	true	true	5
NA19750	MXL	AMR	false	false	7
HG03522	ESN	AFR	true	true	6
